No,変位１,強度１,変位 2,強度２
415,41.5,124.2,41.5,207
416,41.6,124.5,41.6,207.5
417,41.7,124.8,41.7,208
418,41.8,125.1,41.8,208.5
419,41.9,125.4,41.9,209
420,42,125.7,42,209.5
421,42.1,126,42.1,210
422,42.2,126.3,42.2,210.5
423,42.3,126.6,42.3,211
424,42.4,126.9,42.4,211.5
425,42.5,127.2,42.5,212
426,42.6,127.5,42.6,212.5
427,42.7,127.8,42.7,213
428,42.8,128.1,42.8,213.5
429,42.9,128.4,42.9,214
430,43,128.7,43,214.5
431,43.1,129,43.1,215
432,43.2,129.3,43.2,215.5
433,43.3,129.6,43.3,216
434,43.4,129.9,43.4,216.5
435,43.5,130.2,43.5,217
436,43.6,130.5,43.6,217.5
437,43.7,130.8,43.7,218
438,43.8,131.1,43.8,218.5
439,43.9,131.4,43.9,219
440,44,131.7,44,219.5
441,44.1,132,44.1,220
442,44.2,132.3,44.2,220.5
443,44.3,132.6,44.3,221
444,44.4,132.9,44.4,221.5
445,44.5,133.2,44.5,222
446,44.6,133.5,44.6,222.5
447,44.7,133.8,44.7,223
448,44.8,134.1,44.8,223.5
449,44.9,134.4,44.9,224
450,45,134.7,45,224.5
451,45.1,135,45.1,225
452,45.2,135.3,45.2,225.5
453,45.3,135.6,45.3,226
454,45.4,135.9,45.4,226.5
455,45.5,136.2,45.5,227
456,45.6,136.5,45.6,227.5
457,45.7,136.8,45.7,228
458,45.8,137.1,45.8,228.5
459,45.9,137.4,45.9,229
460,46,137.7,46,229.5
461,46.1,138,46.1,230
462,46.2,138.3,46.2,230.5
463,46.3,138.6,46.3,231
464,46.4,138.9,46.4,231.5
465,46.5,139.2,46.5,232
466,46.6,139.5,46.6,232.5
467,46.7,139.8,46.7,233
468,46.8,140.1,46.8,233.5
469,46.9,140.4,46.9,234
470,47,140.7,47,234.5
471,47.1,141,47.1,235
472,47.2,141.3,47.2,235.5
473,47.3,141.6,47.3,236
474,47.4,141.9,47.4,236.5
475,47.5,142.2,47.5,237
476,47.6,142.5,47.6,237.5
477,47.7,142.8,47.7,238
478,47.8,143.1,47.8,238.5
479,47.9,143.4,47.9,239
480,48,143.7,48,239.5
481,48.1,144,48.1,240
482,48.2,144.3,48.2,240.5
483,48.3,144.6,48.3,241
484,48.4,144.9,48.4,241.5
485,48.5,145.2,48.5,242
486,48.6,145.5,48.6,242.5
487,48.7,145.8,48.7,243
488,48.8,146.1,48.8,243.5
489,48.9,146.4,48.9,244
490,49,146.7,49,244.5
491,49.1,147,49.1,245
492,49.2,147.3,49.2,245.5
493,49.3,147.6,49.3,246
494,49.4,147.9,49.4,246.5
495,49.5,148.2,49.5,247
496,49.6,148.5,49.6,247.5
497,49.7,148.8,49.7,248
498,49.8,149.1,49.8,248.5
499,49.9,149.4,49.9,249
500,50,149.7,50,249.5
501,50.1,150,50.1,250
502,50.2,150.3,50.2,250.5
503,50.3,150.6,50.3,251
504,50.4,150.9,50.4,251.5
505,50.5,151.2,50.5,252
506,50.6,151.5,50.6,252.5
507,50.7,151.8,50.7,253
508,50.8,152.1,50.8,253.5
509,50.9,152.4,50.9,254
510,51,152.7,51,254.5
511,51.1,153,51.1,255
512,51.2,153.3,51.2,255.5
513,51.3,153.6,51.3,256
514,51.4,153.9,51.4,256.5
515,51.5,154.2,51.5,257
516,51.6,154.5,51.6,257.5
517,51.7,154.8,51.7,258
518,51.8,155.1,51.8,258.5
519,51.9,155.4,51.9,259
520,52,155.7,52,259.5
521,52.1,156,52.1,260
522,52.2,156.3,52.2,260.5
523,52.3,156.6,52.3,261
524,52.4,156.9,52.4,261.5
525,52.5,157.2,52.5,262
526,52.6,157.5,52.6,262.5
527,52.7,157.8,52.7,263
528,52.8,158.1,52.8,263.5
529,52.9,158.4,52.9,264
530,53,158.7,53,264.5
531,53.1,159,53.1,265
532,53.2,159.3,53.2,265.5
533,53.3,159.6,53.3,266
534,53.4,159.9,53.4,266.5
535,53.5,160.2,53.5,267
536,53.6,160.5,53.6,267.5
537,53.7,160.8,53.7,268
538,53.8,161.1,53.8,268.5
539,53.9,161.4,53.9,269
540,54,161.7,54,269.5
541,54.1,162,54.1,270
542,54.2,162.3,54.2,270.5
543,54.3,162.6,54.3,271
544,54.4,162.9,54.4,271.5
545,54.5,163.2,54.5,272
546,54.6,163.5,54.6,272.5
547,54.7,163.8,54.7,273
548,54.8,164.1,54.8,273.5
549,54.9,164.4,54.9,274
550,55,164.7,55,274.5
551,55.1,165,55.1,275
552,55.2,165.3,55.2,275.5
553,55.3,165.6,55.3,276
554,55.4,165.9,55.4,276.5
555,55.5,166.2,55.5,277
556,55.6,166.5,55.6,277.5
557,55.7,166.8,55.7,278
558,55.8,167.1,55.8,278.5
559,55.9,167.4,55.9,279
560,56,167.7,56,279.5
561,56.1,168,56.1,280
562,56.2,168.3,56.2,280.5
563,56.3,168.6,56.3,281
564,56.4,168.9,56.4,281.5
565,56.5,169.2,56.5,282
566,56.6,169.5,56.6,282.5
567,56.7,169.8,56.7,283
568,56.8,170.1,56.8,283.5
569,56.9,170.4,56.9,284
570,57,170.7,57,284.5
571,57.1,171,57.1,285
572,57.2,171.3,57.2,285.5
573,57.3,171.6,57.3,286
574,57.4,171.9,57.4,286.5
575,57.5,172.2,57.5,287
576,57.6,172.5,57.6,287.5
577,57.7,172.8,57.7,288
578,57.8,173.1,57.8,288.5
579,57.9,173.4,57.9,289
580,58,173.7,58,289.5
581,58.1,174,58.1,290
582,58.2,174.3,58.2,290.5
583,58.3,174.6,58.3,291
584,58.4,174.9,58.4,291.5
585,58.5,175.2,58.5,292
586,58.6,175.5,58.6,292.5
587,58.7,175.8,58.7,293
588,58.8,176.1,58.8,293.5
589,58.9,176.4,58.9,294
590,59,176.7,59,294.5
591,59.1,177,59.1,295
592,59.2,177.3,59.2,295.5
593,59.3,177.6,59.3,296
594,59.4,177.9,59.4,296.5
595,59.5,178.2,59.5,297
596,59.6,178.5,59.6,297.5
597,59.7,178.8,59.7,298
598,59.8,179.1,59.8,298.5
599,59.9,179.4,59.9,299
600,60,179.7,60,299.5
601,60.1,180,60.1,300
602,60.2,180.3,60.2,300.5
603,60.3,180.6,60.3,301
604,60.4,180.9,60.4,301.5
605,60.5,181.2,60.5,302
606,60.6,181.5,60.6,302.5
607,60.7,181.8,60.7,303
608,60.8,182.1,60.8,303.5
609,60.9,182.4,60.9,304
610,61,182.7,61,304.5
611,61.1,183,61.1,305
612,61.2,183.3,61.2,305.5
613,61.3,183.6,61.3,306
614,61.4,183.9,61.4,306.5
615,61.5,184.2,61.5,307
616,61.6,184.5,61.6,307.5
617,61.7,184.8,61.7,308
618,61.8,185.1,61.8,308.5
619,61.9,185.4,61.9,309
620,62,185.7,62,309.5
621,62.1,186,62.1,310
622,62.2,186.3,62.2,310.5
623,62.3,186.6,62.3,311
624,62.4,186.9,62.4,311.5
625,62.5,187.2,62.5,312
626,62.6,187.5,62.6,312.5
627,62.7,187.8,62.7,313
628,62.8,188.1,62.8,313.5
629,62.9,188.4,62.9,314
630,63,188.7,63,314.5
631,63.1,189,63.1,315
632,63.2,189.3,63.2,315.5
633,63.3,189.6,63.3,316
634,63.4,189.9,63.4,316.5
635,63.5,190.2,63.5,317
636,63.6,190.5,63.6,317.5
637,63.7,190.8,63.7,318
638,63.8,191.1,63.8,318.5
639,63.9,191.4,63.9,319
640,64,191.7,64,319.5
641,64.1,192,64.1,320
642,64.2,192.3,64.2,320.5
643,64.3,192.6,64.3,321
644,64.4,192.9,64.4,321.5
645,64.5,193.2,64.5,322
646,64.6,193.5,64.6,322.5
647,64.7,193.8,64.7,323
648,64.8,194.1,64.8,323.5
649,64.9,194.4,64.9,324
650,65,194.7,65,324.5
651,65.1,195,65.1,325
652,65.2,195.3,65.2,325.5
653,65.3,195.6,65.3,326
654,65.4,195.9,65.4,326.5
655,65.5,196.2,65.5,327
656,65.6,196.5,65.6,327.5
657,65.7,196.8,65.7,328
658,65.8,197.1,65.8,328.5
659,65.9,197.4,65.9,329
660,66,197.7,66,329.5
661,66.1,198,66.1,330
662,66.2,198.3,66.2,330.5
663,66.3,198.6,66.3,331
664,66.4,198.9,66.4,331.5
665,66.5,199.2,66.5,332
666,66.6,199.5,66.6,332.5
667,66.7,199.8,66.7,333
668,66.8,200.1,66.8,333.5
669,66.9,200.4,66.9,334
670,67,200.7,67,334.5
671,67.1,201,67.1,335
672,67.2,201.3,67.2,335.5
673,67.3,201.6,67.3,336
674,67.4,201.9,67.4,336.5
675,67.5,202.2,67.5,337
676,67.6,202.5,67.6,337.5
677,67.7,202.8,67.7,338
678,67.8,203.1,67.8,338.5
679,67.9,203.4,67.9,339
680,68,203.7,68,339.5
681,68.1,204,68.1,340
682,68.2,204.3,68.2,340.5
683,68.3,204.6,68.3,341
684,68.4,204.9,68.4,341.5
685,68.5,205.2,68.5,342
686,68.6,205.5,68.6,342.5
687,68.7,205.8,68.7,343
688,68.8,206.1,68.8,343.5
689,68.9,206.4,68.9,344
690,69,206.7,69,344.5
691,69.1,207,69.1,345
692,69.2,207.3,69.2,345.5
693,69.3,207.6,69.3,346
694,69.4,207.9,69.4,346.5
695,69.5,208.2,69.5,347
696,69.6,208.5,69.6,347.5
697,69.7,208.8,69.7,348
698,69.8,209.1,69.8,348.5
699,69.9,209.4,69.9,349
700,70,209.7,70,349.5
701,70.1,210,70.1,350
702,70.2,210.3,70.2,350.5
703,70.3,210.6,70.3,351
704,70.4,210.9,70.4,351.5
705,70.5,211.2,70.5,352
706,70.6,211.5,70.6,352.5
707,70.7,211.8,70.7,353
708,70.8,212.1,70.8,353.5
709,70.9,212.4,70.9,354
710,71,212.7,71,354.5
711,71.1,213,71.1,355
712,71.2,213.3,71.2,355.5
713,71.3,213.6,71.3,356
714,71.4,213.9,71.4,356.5
715,71.5,214.2,71.5,357
716,71.6,214.5,71.6,357.5
717,71.7,214.8,71.7,358
718,71.8,215.1,71.8,358.5
719,71.9,215.4,71.9,359
720,72,215.7,72,359.5
721,72.1,216,72.1,360
722,72.2,216.3,72.2,360.5
723,72.3,216.6,72.3,361
724,72.4,216.9,72.4,361.5
725,72.5,217.2,72.5,362
726,72.6,217.5,72.6,362.5
727,72.7,217.8,72.7,363
728,72.8,218.1,72.8,363.5
729,72.9,218.4,72.9,364
730,73,218.7,73,364.5
731,73.1,219,73.1,365
732,73.2,219.3,73.2,365.5
733,73.3,219.6,73.3,366
734,73.4,219.9,73.4,366.5
735,73.5,220.2,73.5,367
736,73.6,220.5,73.6,367.5
737,73.7,220.8,73.7,368
738,73.8,221.1,73.8,368.5
739,73.9,221.4,73.9,369
740,74,221.7,74,369.5
741,74.1,222,74.1,370
742,74.2,222.3,74.2,370.5
743,74.3,222.6,74.3,371
744,74.4,222.9,74.4,371.5
745,74.5,223.2,74.5,372
746,74.6,223.5,74.6,372.5
747,74.7,223.8,74.7,373
748,74.8,224.1,74.8,373.5
749,74.9,224.4,74.9,374
750,75,224.7,75,374.5
751,75.1,225,75.1,375
752,75.2,225.3,75.2,375.5
753,75.3,225.6,75.3,376
754,75.4,225.9,75.4,376.5
755,75.5,226.2,75.5,377
756,75.6,226.5,75.6,377.5
757,75.7,226.8,75.7,378
758,75.8,227.1,75.8,378.5
759,75.9,227.4,75.9,379
760,76,227.7,76,379.5
761,76.1,228,76.1,380
762,76.2,228.3,76.2,380.5
763,76.3,228.6,76.3,381
764,76.4,228.9,76.4,381.5
765,76.5,229.2,76.5,382
766,76.6,229.5,76.6,382.5
767,76.7,229.8,76.7,383
768,76.8,230.1,76.8,383.5
769,76.9,230.4,76.9,384
770,77,230.7,77,384.5
771,77.1,231,77.1,385
772,77.2,231.3,77.2,385.5
773,77.3,231.6,77.3,386
774,77.4,231.9,77.4,386.5
775,77.5,232.2,77.5,387
776,77.6,232.5,77.6,387.5
777,77.7,232.8,77.7,388
778,77.8,233.1,77.8,388.5
779,77.9,233.4,77.9,389
780,78,233.7,78,389.5
781,78.1,234,78.1,390
782,78.2,234.3,78.2,390.5
783,78.3,234.6,78.3,391
784,78.4,234.9,78.4,391.5
785,78.5,235.2,78.5,392
786,78.6,235.5,78.6,392.5
787,78.7,235.8,78.7,393
788,78.8,236.1,78.8,393.5
789,78.9,236.4,78.9,394
790,79,236.7,79,394.5
791,79.1,237,79.1,395
792,79.2,237.3,79.2,395.5
793,79.3,237.6,79.3,396
794,79.4,237.9,79.4,396.5
795,79.5,238.2,79.5,397
796,79.6,238.5,79.6,397.5
797,79.7,238.8,79.7,398
798,79.8,239.1,79.8,398.5
799,79.9,239.4,79.9,399
800,80,239.7,80,399.5
801,80.1,240,80.1,400
802,80.2,240.3,80.2,400.5
803,80.3,240.6,80.3,401
804,80.4,240.9,80.4,401.5
805,80.5,241.2,80.5,402
806,80.6,241.5,80.6,402.5
807,80.7,241.8,80.7,403
808,80.8,242.1,80.8,403.5
809,80.9,242.4,80.9,404
810,81,242.7,81,404.5
811,81.1,243,81.1,405
812,81.2,243.3,81.2,405.5
813,81.3,243.6,81.3,406
814,81.4,243.9,81.4,406.5
815,81.5,244.2,81.5,407
816,81.6,244.5,81.6,407.5
817,81.7,244.8,81.7,408
818,81.8,245.1,81.8,408.5
819,81.9,245.4,81.9,409
820,82,245.7,82,409.5
821,82.1,246,82.1,410
822,82.2,246.3,82.2,410.5
823,82.3,246.6,82.3,411
824,82.4,246.9,82.4,411.5
825,82.5,247.2,82.5,412
826,82.6,247.5,82.6,412.5
827,82.7,247.8,82.7,413
828,82.8,248.1,82.8,413.5
829,82.9,248.4,82.9,414
830,83,248.7,83,414.5
831,83.1,249,83.1,415
832,83.2,249.3,83.2,415.5
833,83.3,249.6,83.3,416
834,83.4,249.9,83.4,416.5
835,83.5,250.2,83.5,417
836,83.6,250.5,83.6,417.5
837,83.7,250.8,83.7,418
838,83.8,251.1,83.8,418.5
839,83.9,251.4,83.9,419
840,84,251.7,84,419.5
841,84.1,252,84.1,420
842,84.2,252.3,84.2,420.5
843,84.3,252.6,84.3,421
844,84.4,252.9,84.4,421.5
845,84.5,253.2,84.5,422
846,84.6,253.5,84.6,422.5
847,84.7,253.8,84.7,423
848,84.8,254.1,84.8,423.5
849,84.9,254.4,84.9,424
850,85,254.7,85,424.5
